PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37239920","Enhancing SARS-CoV-2 Surveillance through Regular Genomic Sequencing in Spain: The RELECOV Network","Vázquez-Morón S, Iglesias-Caballero M, Lepe JA, Garcia F, Melón S, Marimon JM, García de Viedma D, Folgueira MD, Galán JC, López-Causapé C, Benito-Ruesca R, Alcoba-Florez J, Gonzalez Candelas F, Toro M, Fajardo M, Ezpeleta C, Lázaro F, Pérez Castro S, Cuesta I, Zaballos A, Pozo F, Casas I, On Behalf Of Relecov Network Members.","Int J Mol Sci. 2023 May 10;24(10):8573. doi: 10.3390/ijms24108573.","Vázquez-Morón S","Int J Mol Sci","2023","2023/05/27","PMC10218691","","10.3390/ijms24108573"
"36977565","[Latent period and incubation period with associated factors of COVID-19 caused by Omicron variant]","Jiang XL, Qiu Y, Zhang YP, Yang P, Huang B, Lin M, Ye Y, Gao F, Li D, Qin Y, Li Y, Li ZJ.","Zhonghua Yu Fang Yi Xue Za Zhi. 2023 May 6;57(5):659-666. doi: 10.3760/cma.j.cn112150-20220926-00925.","Jiang XL","Zhonghua Yu Fang Yi Xue Za Zhi","2023","2023/03/28","","","10.3760/cma.j.cn112150-20220926-00925"
"36849069","Dynamics of disease characteristics and viral RNA decay in patients with asymptomatic and mild infections during the Omicron wave in Shanghai, China: A retrospective cohort study","Kang W, Yang P, Dang B, Zhang W, Gang Y, Wang W, Ma C, Zhao Y, Zhang Y, Hao C, Quan H, Li J, Cao J, Kang W, Shang L.","Int J Infect Dis. 2023 May;130:60-70. doi: 10.1016/j.ijid.2023.02.020. Epub 2023 Feb 25.","Kang W","Int J Infect Dis","2023","2023/02/27","","","10.1016/j.ijid.2023.02.020"
"36878009","Serial Intervals and Incubation Periods of SARS-CoV-2 Omicron and Delta Variants, Singapore","Zeng K, Santhya S, Soong A, Malhotra N, Pushparajah D, Thoon KC, Yeo B, Ho ZJM, Cheng MCI.","Emerg Infect Dis. 2023 Apr;29(4):814-817. doi: 10.3201/eid2904.220854. Epub 2023 Mar 6.","Zeng K","Emerg Infect Dis","2023","2023/03/06","PMC10045676","","10.3201/eid2904.220854"
"36893130","Virus-like Plasmonic Nanoprobes for Quick Analysis of Antiviral Efficacy and Mutation-Induced Drug Resistance","Ouyang Y, Chen Y, Shang J, Sun S, Wang X, Huan S, Xiong B, Zhang XB.","Anal Chem. 2023 Mar 21;95(11):5009-5017. doi: 10.1021/acs.analchem.2c05464. Epub 2023 Mar 9.","Ouyang Y","Anal Chem","2023","2023/03/09","","","10.1021/acs.analchem.2c05464"
"36992470","Stability of SARS-CoV-2 in Biological Fluids of Animals","Kwon T, Gaudreault NN, Cool K, McDowell CD, Morozov I, Richt JA.","Viruses. 2023 Mar 16;15(3):761. doi: 10.3390/v15030761.","Kwon T","Viruses","2023","2023/03/30","PMC10058514","","10.3390/v15030761"
"36942331","[Epidemiological characteristics of a 2019-nCoV outbreak caused by Omicron variant BF.7 in Shenzhen]","Cheng YP, Kong DF, Zhang J, Lyu ZQ, Chen ZG, Xiong HW, Lu Y, Luo QS, Lyu QY, Zhao J, Wen Y, Wan J, Lu FF, Lu JH, Zou X, Zhang Z.","Zhonghua Liu Xing Bing Xue Za Zhi. 2023 Mar 10;44(3):379-385. doi: 10.3760/cma.j.cn112338-20221031-00926.","Cheng YP","Zhonghua Liu Xing Bing Xue Za Zhi","2023","2023/03/21","","","10.3760/cma.j.cn112338-20221031-00926"
"36942330","[Analysis on infection sources and transmission chains of three outbreaks caused by 2019-nCoV Omicron variant in Beijing, China]","Wu SS, Sun Y, Dou XF, Ren ZY, Zhang JJ, Jia L, Yang P, Pang XH.","Zhonghua Liu Xing Bing Xue Za Zhi. 2023 Mar 10;44(3):373-378. doi: 10.3760/cma.j.cn112338-20221112-00966.","Wu SS","Zhonghua Liu Xing Bing Xue Za Zhi","2023","2023/03/21","","","10.3760/cma.j.cn112338-20221112-00966"
"36942329","[Study of incubation period of infection with 2019-nCoV Omicron variant BA.5.1.3]","Li WX, Cao L, Zhang DH, Cai C, Huang LJ, Zhao JN, Ning Y.","Zhonghua Liu Xing Bing Xue Za Zhi. 2023 Mar 10;44(3):367-372. doi: 10.3760/cma.j.cn112338-20221212-01060.","Li WX","Zhonghua Liu Xing Bing Xue Za Zhi","2023","2023/03/21","","","10.3760/cma.j.cn112338-20221212-01060"
"36995713","Transmission Characteristics and Inactivated Vaccine Effectiveness Against Transmission of SARS-CoV-2 Omicron BA.5 Variants in Urumqi, China","Wang K, Guo Z, Zeng T, Sun S, Lu Y, Wang J, Li S, Luan Z, Li H, Zhang J, Wang Y, Lu Y, Zhao S.","JAMA Netw Open. 2023 Mar 1;6(3):e235755. doi: 10.1001/jamanetworkopen.2023.5755.","Wang K","JAMA Netw Open","2023","2023/03/30","PMC10064257","","10.1001/jamanetworkopen.2023.5755"
"36892159","Comparing the incubation period, serial interval, and infectiousness profile between SARS-CoV-2 Omicron and Delta variants","Guo Z, Zhao S, Mok CKP, So RTY, Yam CHK, Chow TY, Chan TCP, Wei Y, Jia KM, Wang MH, Chong KC, Yeoh EK.","J Med Virol. 2023 Mar;95(3):e28648. doi: 10.1002/jmv.28648.","Guo Z","J Med Virol","2023","2023/03/09","","","10.1002/jmv.28648"
"36787734","SARS-CoV-2 Incubation Period during the Omicron BA.5-Dominant Period in Japan","Ogata T, Tanaka H.","Emerg Infect Dis. 2023 Mar;29(3):595-598. doi: 10.3201/eid2903.221360. Epub 2023 Feb 14.","Ogata T","Emerg Infect Dis","2023","2023/02/14","PMC9973685","","10.3201/eid2903.221360"
"36738428","Neutralization against SARS-CoV-2 Delta/Omicron variants and B cell response after inactivated vaccination among COVID-19 convalescents","Wang H, Yuan Y, Wu B, Xiao M, Wang Z, Diao T, Zeng R, Chen L, Lei Y, Long P, Guo Y, Lai X, Wen Y, Li W, Cai H, Song L, Ni W, Zhao Y, Ouyang K, Wang J, Wang Q, Liu L, Wang C, Pan A, Li X, Gong R, Wu T.","Front Med. 2023 Feb 4:1-11. doi: 10.1007/s11684-022-0954-x. Online ahead of print.","Wang H","Front Med","2023","2023/02/04","PMC9898702","","10.1007/s11684-022-0954-x"
"36843225","Household transmission of SARS-CoV-2 during the Omicron wave in Shanghai, China: A case-ascertained study","Wei Z, Ma W, Wang Z, Li J, Fu X, Chang H, Qiu Y, Tian H, Zhu Y, Xia A, Wu Q, Liu G, Zhai X, Zhang X, Wang Y, Zeng M.","Influenza Other Respir Viruses. 2023 Feb;17(2):e13097. doi: 10.1111/irv.13097.","Wei Z","Influenza Other Respir Viruses","2023","2023/02/27","PMC9946695","","10.1111/irv.13097"
"36727647","Discovery of Isojacareubin as a covalent inhibitor of SARS-CoV-2 main protease using structural and experimental approaches","Khan A, Heng W, Imran K, Zhu G, Ji J, Zhang Y, Guan X, Ge G, Wei DQ.","J Med Virol. 2023 Feb;95(2):e28542. doi: 10.1002/jmv.28542.","Khan A","J Med Virol","2023","2023/02/02","","","10.1002/jmv.28542"
"36648122","Epidemiology of SARS-CoV-2 Omicron BA.5 Infections, Macau, June-July 2022","Xiong W, Peng L, Tsang TK, Cowling BJ.","Emerg Infect Dis. 2023 Feb;29(2):453-456. doi: 10.3201/eid2902.221243. Epub 2023 Jan 17.","Xiong W","Emerg Infect Dis","2023","2023/01/17","PMC9881764","","10.3201/eid2902.221243"
"34283506","Best Practices For Administering Monoclonal Antibody Therapy For Coronavirus (COVID-19)","Elsaghir H, Adnan G.","2023 Jan 25. In: StatPearls [Internet]. Treasure Island (FL): StatPearls Publishing; 2023 Jan–.","Elsaghir HAdnan G","StatPearls","2023","2023/01/25","","",""
"36047182","The First Case of a Child Infected with SARS-CoV-2 Omicron Variant in Japan, December 2021","Horigome A, Yamanaka J, Takasago S, Iwamoto N, Saito T, Shichino H.","Jpn J Infect Dis. 2023 Jan 24;76(1):69-71. doi: 10.7883/yoken.JJID.2021.896. Epub 2022 Aug 31.","Horigome A","Jpn J Infect Dis","2023","2022/09/01","","","10.7883/yoken.JJID.2021.896"
"36860638","Characteristics of the Severe Acute Respiratory Syndrome Coronavirus 2 Omicron BA.2 Subvariant in Jilin, China from March to May 2022","Liu H, Wang S, Yang S, Luo SX, Jie J, Hua S, Peng L, Luo J, Song L, Li D.","J Transl Int Med. 2023 Jan 5;10(4):349-358. doi: 10.2478/jtim-2022-0054. eCollection 2022 Dec.","Liu H","J Transl Int Med","2023","2023/03/02","PMC9969560","","10.2478/jtim-2022-0054"
"36511336","Transmission dynamics of SARS-CoV-2 Omicron variant infections in Hangzhou, Zhejiang, China, January-February 2022","Xin H, Wang Z, Feng S, Sun Z, Yu L, Cowling BJ, Kong Q, Wu P.","Int J Infect Dis. 2023 Jan;126:132-135. doi: 10.1016/j.ijid.2022.10.033. Epub 2022 Oct 28.","Xin H","Int J Infect Dis","2023","2022/12/13","PMC9616478","","10.1016/j.ijid.2022.10.033"
"36620243","How fast and how well the Omicron epidemic was curtailed. A Guangzhou experience to share","Cai W, Yang Z, Liang J, Lin Z, Ma Y, Chen C, Li Y, Li Y, Mai Z, Mai K, Kong X, Liang X, Li Q, Tu C, Chen C, Hon C, Qin P, Li K, Li X, Miao Y, Liu X, Guan W, Zeng Z, Qiu W, He W, Zhang L, Yang Z, Zhong N.","Front Public Health. 2022 Dec 21;10:979063. doi: 10.3389/fpubh.2022.979063. eCollection 2022.","Cai W","Front Public Health","2022","2023/01/09","PMC9812567","","10.3389/fpubh.2022.979063"
"36535802","Replacement dynamics and the pathogenesis of the Alpha, Delta and Omicron variants of SARS-CoV-2","Ward T, Glaser A, Overton CE, Carpenter B, Gent N, Seale AC.","Epidemiol Infect. 2022 Dec 20;151:e32. doi: 10.1017/S0950268822001935.","Ward T","Epidemiol Infect","2022","2022/12/19","PMC9990386","","10.1017/S0950268822001935"
"35942477","Estimating the incubation period of SARS-CoV-2 Omicron BA.1 variant in comparison with that during the Delta variant dominance in South Korea","Liu Y, Zhao S, Ryu S, Ran J, Fan J, He D.","One Health. 2022 Dec;15:100425. doi: 10.1016/j.onehlt.2022.100425. Epub 2022 Aug 4.","Liu Y","One Health","2022","2022/08/09","PMC9349028","","10.1016/j.onehlt.2022.100425"
"34983331","Genetic analysis of a SARS-CoV-2 Omicron variant from a Chinese traveller returning from overseas","Jia H, Wang H, Cao L, Lai Z, Cheng Z, Chen Q, Liu T, Liu X, Wen Y, Xu C, Lu W, Yang G, Zhou D, Di B, Gao F, Yang Z.","Emerg Microbes Infect. 2022 Dec;11(1):306-309. doi: 10.1080/22221751.2022.2025747.","Jia H","Emerg Microbes Infect","2022","2022/01/05","PMC8820795","","10.1080/22221751.2022.2025747"
"36444451","[Epidemiological characteristics of two local COVID-19 outbreaks caused by 2019-nCoV Omicron variant in Guangzhou, China]","Huang Y, Zheng ZW, Chen C, Li K, Chen SY, Chen YY, Jing QL, Ma Y, Luo L, Yang ZC, Zhang ZB.","Zhonghua Liu Xing Bing Xue Za Zhi. 2022 Nov 10;43(11):1705-1710. doi: 10.3760/cma.j.cn112338-20220523-00450.","Huang Y","Zhonghua Liu Xing Bing Xue Za Zhi","2022","2022/11/29","","","10.3760/cma.j.cn112338-20220523-00450"
"36444449","[Progress in research of etiology and epidemiology of 2019-nCoV Omicron variant]","Liao CX, Wang B, Lyu J, Li LM.","Zhonghua Liu Xing Bing Xue Za Zhi. 2022 Nov 10;43(11):1691-1698. doi: 10.3760/cma.j.cn112338-20220929-00829.","Liao CX","Zhonghua Liu Xing Bing Xue Za Zhi","2022","2022/11/29","","","10.3760/cma.j.cn112338-20220929-00829"
"36352067","Vaccines against the original strain of SARS-CoV-2 provide T cell memory to the B.1.1.529 variant","Dörnte C, Traska V, Jansen N, Kostyra J, Baurmann H, Lauer G, Huang YJ, Kramer S, Brauns O, Winkels H, Schmitz J, Dose C, Richter A, Schuster M.","Commun Med (Lond). 2022 Nov 2;2(1):140. doi: 10.1038/s43856-022-00203-7.","Dörnte C","Commun Med (Lond)","2022","2022/11/09","PMC9629766","","10.1038/s43856-022-00203-7"
"36929985","Bayesian reconstruction of household transmissions to infer the serial interval of COVID-19 by variants of concern: analysis from a prospective community cohort study (Virus Watch)","Geismar C, Nguyen V, Fragaszy E, Shrotri M, Navaratnam AMD, Beale S, Byrne TE, Fong WLE, Yavlinsky A, Kovar J, Braithwaite I, Aldridge RW, Hayward AC, White P, Jombart T, Cori A.","Lancet. 2022 Nov;400 Suppl 1:S40. doi: 10.1016/S0140-6736(22)02250-4. Epub 2022 Nov 24.","Geismar C","Lancet","2022","2023/03/17","PMC9691060","","10.1016/S0140-6736(22)02250-4"
"36192062","Fluorescent nanodiamond-based spin-enhanced lateral flow immunoassay for detection of SARS-CoV-2 nucleocapsid protein and spike protein from different variants","Wei-Wen Hsiao W, Sharma N, Le TN, Cheng YY, Lee CC, Vo DT, Hui YY, Chang HC, Chiang WH.","Anal Chim Acta. 2022 Oct 16;1230:340389. doi: 10.1016/j.aca.2022.340389. Epub 2022 Sep 14.","Wei-Wen Hsiao W","Anal Chim Acta","2022","2022/10/03","PMC9472599","","10.1016/j.aca.2022.340389"
"36181503","Transmission of SARS-CoV-2 in a primary school setting with and without public health measures using real-world contact data: A modelling study","Yan L, Talic S, Wild H, Gasevic D, Gasević D, Ilic D, Deppeler J, Corrigan D, Martinez-Maldonado R, Trauer J.","J Glob Health. 2022 Oct 1;12:05034. doi: 10.7189/jogh.12.05034.","Yan L","J Glob Health","2022","2022/10/01","PMC9526455","","10.7189/jogh.12.05034"
"35830452","A quantitative RT-qLAMP for the detection of SARS-CoV-2 and human gene in clinical application","Yu Y, Zhou JXY, Li B, Ji M, Wang Y, Carnaby E, Andersson MI, Huang WE, Cui Z.","Microb Biotechnol. 2022 Oct;15(10):2619-2630. doi: 10.1111/1751-7915.14112. Epub 2022 Jul 13.","Yu Y","Microb Biotechnol","2022","2022/07/13","PMC9349938","","10.1111/1751-7915.14112"
"35442440","Shorter serial intervals and incubation periods in SARS-CoV-2 variants than the SARS-CoV-2 ancestral strain","Du Z, Liu C, Wang L, Bai Y, Lau EHY, Wu P, Cowling BJ.","J Travel Med. 2022 Sep 17;29(6):taac052. doi: 10.1093/jtm/taac052.","Du Z","J Travel Med","2022","2022/04/20","PMC9047226","","10.1093/jtm/taac052"
"36117340","[Study of transmissibility of 2019-nCoV Omicron variant in Beijing]","Du J, Wang JM, Wang J, Gao YL, Pang XH, Li G.","Zhonghua Liu Xing Bing Xue Za Zhi. 2022 Sep 10;43(9):1364-1369. doi: 10.3760/cma.j.cn112338-20220410-00274.","Du J","Zhonghua Liu Xing Bing Xue Za Zhi","2022","2022/09/19","","","10.3760/cma.j.cn112338-20220410-00274"
"36040256","Contributions of the N-terminal intrinsically disordered region of the severe acute respiratory syndrome coronavirus 2 nucleocapsid protein to RNA-induced phase separation","Zachrdla M, Savastano A, Ibáñez de Opakua A, Cima-Omori MS, Zweckstetter M.","Protein Sci. 2022 Sep;31(9):e4409. doi: 10.1002/pro.4409.","Zachrdla M","Protein Sci","2022","2022/08/30","PMC9387207","","10.1002/pro.4409"
"35953331","Debulking different Corona (SARS-CoV-2 delta, omicron, OC43) and Influenza (H1N1, H3N2) virus strains by plant viral trap proteins in chewing gums to decrease infection and transmission","Daniell H, Nair SK, Guan H, Guo Y, Kulchar RJ, Torres MDT, Shahed-Al-Mahmud M, Wakade G, Liu YM, Marques AD, Graham-Wooten J, Zhou W, Wang P, Molugu SK, de Araujo WR, de la Fuente-Nunez C, Ma C, Short WR, Tebas P, Margulies KB, Bushman FD, Mante FK, Ricciardi RP, Collman RG, Wolff MS.","Biomaterials. 2022 Sep;288:121671. doi: 10.1016/j.biomaterials.2022.121671. Epub 2022 Jul 18.","Daniell H","Biomaterials","2022","2022/08/11","PMC9290430","","10.1016/j.biomaterials.2022.121671"
"35905841","Proof-of-concept for speedy development of rapid and simple at-home method for potential diagnosis of early COVID-19 mutant infections using nanogold and aptamer","Ellipilli S, Wang H, Lee WJ, Shu D, Guo P.","Nanomedicine. 2022 Sep;45:102590. doi: 10.1016/j.nano.2022.102590. Epub 2022 Jul 26.","Ellipilli S","Nanomedicine","2022","2022/07/29","PMC9315840","","10.1016/j.nano.2022.102590"
"35984832","A panel regression analysis for the COVID-19 epidemic in the United States","Guo Y, Li B, Duan T, Yao N, Wang H, Yang Y, Yan S, Sun M, Wang L, Yao Y, Sun Y, Jia J, Liu S.","PLoS One. 2022 Aug 19;17(8):e0273344. doi: 10.1371/journal.pone.0273344. eCollection 2022.","Guo Y","PLoS One","2022","2022/08/19","PMC9390909","","10.1371/journal.pone.0273344"
"35594867","Antibody evasion of SARS-CoV-2 Omicron BA.1, BA.1.1, BA.2, and BA.3 sub-lineages","Ai J, Wang X, He X, Zhao X, Zhang Y, Jiang Y, Li M, Cui Y, Chen Y, Qiao R, Li L, Yang L, Li Y, Hu Z, Zhang W, Wang P.","Cell Host Microbe. 2022 Aug 10;30(8):1077-1083.e4. doi: 10.1016/j.chom.2022.05.001. Epub 2022 May 8.","Ai J","Cell Host Microbe","2022","2022/05/20","PMC9080084","","10.1016/j.chom.2022.05.001"
"35994285","Incubation Period of COVID-19 Caused by Unique SARS-CoV-2 Strains: A Systematic Review and Meta-analysis","Wu Y, Kang L, Guo Z, Liu J, Liu M, Liang W.","JAMA Netw Open. 2022 Aug 1;5(8):e2228008. doi: 10.1001/jamanetworkopen.2022.28008.","Wu Y","JAMA Netw Open","2022","2022/08/22","PMC9396366","","10.1001/jamanetworkopen.2022.28008"
"35637389","Simplified Cas13-based assays for the fast identification of SARS-CoV-2 and its variants","Arizti-Sanz J, Bradley A, Zhang YB, Boehm CK, Freije CA, Grunberg ME, Kosoko-Thoroddsen TF, Welch NL, Pillai PP, Mantena S, Kim G, Uwanibe JN, John OG, Eromon PE, Kocher G, Gross R, Lee JS, Hensley LE, MacInnis BL, Johnson J, Springer M, Happi CT, Sabeti PC, Myhrvold C.","Nat Biomed Eng. 2022 Aug;6(8):932-943. doi: 10.1038/s41551-022-00889-z. Epub 2022 May 30.","Arizti-Sanz J","Nat Biomed Eng","2022","2022/05/31","PMC9398993","NIHMS1820064","10.1038/s41551-022-00889-z"
"35909795","Quarantine and serial testing for variants of SARS-CoV-2 with benefits of vaccination and boosting on consequent control of COVID-19","Wells CR, Pandey A, Gokcebel S, Krieger G, Donoghue AM, Singer BH, Moghadas SM, Galvani AP, Townsend JP.","PNAS Nexus. 2022 Jul 27;1(3):pgac100. doi: 10.1093/pnasnexus/pgac100. eCollection 2022 Jul.","Wells CR","PNAS Nexus","2022","2022/08/01","PMC9335027","","10.1093/pnasnexus/pgac100"
"35743031","Human Superantibodies to 3CL(pro) Inhibit Replication of SARS-CoV-2 across Variants","Glab-Ampai K, Kaewchim K, Saenlom T, Thepsawat W, Mahasongkram K, Sookrung N, Chaicumpa W, Chulanetra M.","Int J Mol Sci. 2022 Jun 13;23(12):6587. doi: 10.3390/ijms23126587.","Glab-Ampai K","Int J Mol Sci","2022","2022/06/24","PMC9223907","","10.3390/ijms23126587"
"35654983","Cleavage of the selective autophagy receptor SQSTM1/p62 by the SARS-CoV-2 main protease NSP5 prevents the autophagic degradation of viral membrane proteins","Zhang Y, Liu S, Xu Q, Li H, Lu K.","Mol Biomed. 2022 Jun 3;3(1):17. doi: 10.1186/s43556-022-00083-2.","Zhang Y","Mol Biomed","2022","2022/06/02","PMC9162485","","10.1186/s43556-022-00083-2"
"35393009","Secondary Attack Rate, Transmission and Incubation Periods, and Serial Interval of SARS-CoV-2 Omicron Variant, Spain","Del Águila-Mejía J, Wallmann R, Calvo-Montes J, Rodríguez-Lozano J, Valle-Madrazo T, Aginagalde-Llorente A.","Emerg Infect Dis. 2022 Jun;28(6):1224-1228. doi: 10.3201/eid2806.220158. Epub 2022 Apr 7.","Del Águila-Mejía J","Emerg Infect Dis","2022","2022/04/08","PMC9155885","","10.3201/eid2806.220158"
"35313532","Breakthrough infections after COVID-19 vaccination: Insights, perspectives and challenges","Amanatidou E, Gkiouliava A, Pella E, Serafidi M, Tsilingiris D, Vallianou NG, Karampela I, Dalamaga M.","Metabol Open. 2022 Mar 17;14:100180. doi: 10.1016/j.metop.2022.100180. eCollection 2022 Jun.","Amanatidou E","Metabol Open","2022","2022/03/22","PMC8928742","","10.1016/j.metop.2022.100180"
